site_id,router,date_timestamp,mac_primary,mac_backup,mac_third,gtw_primary,gtw_backup,gtw_third,public_ip_primary,public_ip_backup,public_ip_third,provider_primary,provider_backup,provider_third,status_primary,status_backup,status_third,loopback_0,loopback_1,loopback_2,loopback_3,loopback_0_24h,loopback_1_24h,loopback_2_24h,loppback_3_24h,imsi,region,longitude,latitude,city,province,primary_mac_model,backup_mac_model,serial_number
ST-4406,RUIJIE,"2024-08-17, 19:00:02",94:B2:71:93:0A:FD,,NO MAC,192.168.254.254,,NO GATEWAY_IP,158.62.27.160,112.198.70.42,,GLOBE WIRED,GLOBE SIM,,,,,1,1,1,0,1,0.99,1,0,5.15E+14,,,,,,,,
ST-2155,MIKROTIK,"2024-08-17, 19:00:02",NO MAC,8C:88:2B:00:00:19,,NO GATEWAY_IP,192.168.8.1,,NO IP,110.54.155.45,,NO PROVIDER,GLOBE SIM,,,,,1,0,1,-2,1,0,1,-2,,,,,,,,,
ST-4012,MIKROTIK,"2024-08-17, 19:00:02",NO DATA,NO DATA,,NO DATA,NO DATA,,NO IP,NO IP,,NO PROVIDER,NO PROVIDER,,,,,0.84,0.84,0.79,-2,0,0,0,-2,,,,,,,,,
ST-2823,MIKROTIK,"2024-08-17, 19:00:02",1C:18:4A:9A:B8:80,84:06:FA:CF:2D:90,,192.168.30.1,192.168.254.254,,38.47.168.50,158.62.81.5,,DATACONNECT,GLOBE WIRED,,,,,1,1,1,-2,1,1,1,-2,,,,,,,,,
ST-3560,MIKROTIK,"2024-08-18, 19:00:02",8C:88:2B:00:00:19,8C:88:2B:00:00:19,,192.168.9.1,192.168.8.1,,175.176.2.3,110.54.213.77,,SMART SIM,GLOBE SIM,,,,,1,1,1,-2,1,1,1,-2,,,,,,,,,
ST-4406,RUIJIE,"2024-08-18, 19:00:02",94:B2:71:93:0A:FD,,NO MAC,192.168.254.254,,NO GATEWAY_IP,158.62.27.160,112.198.70.42,,GLOBE WIRED,GLOBE SIM,,,,,1,1,1,0,1,0.99,1,0,5.15E+14,,,,,,,,
ST-2155,MIKROTIK,"2024-08-18, 19:00:02",NO MAC,8C:88:2B:00:00:19,,NO GATEWAY_IP,192.168.8.1,,NO IP,110.54.155.45,,NO PROVIDER,GLOBE WIRED,,,,,1,0,1,-2,1,0,1,-2,,,,,,,,,
ST-4012,MIKROTIK,"2024-08-18, 19:00:02",NO DATA,NO DATA,,NO DATA,NO DATA,,NO IP,NO IP,,NO PROVIDER,NO PROVIDER,,,,,0.84,0.84,0.79,-2,0,0,0,-2,,,,,,,,,
ST-2823,MIKROTIK,"2024-08-18, 19:00:02",1C:18:4A:9A:B8:80,84:06:FA:CF:2D:90,,192.168.30.1,192.168.254.254,,38.47.168.50,158.62.81.5,,DATACONNECT,GLOBE WIRED,,,,,1,1,1,-2,1,1,1,-2,,,,,,,,,
ST-3560,MIKROTIK,"2024-02-18, 19:00:02",8C:88:2B:00:00:19,8C:88:2B:00:00:19,,192.168.9.1,192.168.8.1,,175.176.2.3,110.54.213.77,,SMART SIM,GLOBE SIM,,,,,1,1,1,-2,1,1,1,-2,,,,,,,,,
ST-4406,RUIJIE,"2024-08-19, 19:00:02",94:B2:71:93:0A:FD,,NO MAC,192.168.254.254,,NO GATEWAY_IP,158.62.27.160,112.198.70.42,,GLOBE WIRED,GLOBE SIM,,,,,1,1,1,0,1,0.99,1,0,5.15E+14,,,,,,,,
ST-2155,MIKROTIK,"2024-08-19, 19:00:02",NO MAC,8C:88:2B:00:00:19,,NO GATEWAY_IP,192.168.8.1,,NO IP,110.54.155.45,,NO PROVIDER,GLOBE SIM,,,,,1,0,1,-2,1,0,1,-2,,,,,,,,,
ST-4012,MIKROTIK,"2024-08-19, 19:00:02",NO DATA,NO DATA,,NO DATA,NO DATA,,NO IP,NO IP,,NO PROVIDER,NO PROVIDER,,,,,0.84,0.84,0.79,-2,0,0,0,-2,,,,,,,,,
ST-2823,MIKROTIK,"2024-08-19, 19:00:02",1C:18:4A:9A:B8:80,84:06:FA:CF:2D:90,,192.168.30.1,192.168.254.254,,38.47.168.50,158.62.81.5,,DATACONNECT,GLOBE WIRED,,,,,1,1,1,-2,1,1,1,-2,,,,,,,,,
ST-3560,MIKROTIK,"2024-08-19, 19:00:02",8C:88:2B:00:00:19,8C:88:2B:00:00:19,,192.168.9.1,192.168.8.1,,175.176.2.3,110.54.213.77,,SMART SIM,GLOBE SIM,,,,,1,1,1,-2,1,1,1,-2,,,,,,,,,
